timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
030303031,3,F1,,0.0,,11.071305,,,,,,,,,,,,,,,
2025-12-08T16:22:12.819883+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:12.819954+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:12.820013+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17104.392568,,,119,0,0,400
2025-12-08T16:22:13.027247+00:00,gnb:131-133-31000000,unknown,2,F1,,11.782857,,,,,,,,,,,,,,,
2025-12-08T16:22:13.027361+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:13.027438+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.565714,,,,,,,,
2025-12-08T16:22:13.029453+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:13.029532+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:13.029595+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:13.029745+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:13.029816+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17064.567117,,,119,0,0,400
2025-12-08T16:22:13.029876+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:13.233880+00:00,gnb:131-133-31000000,unknown,2,F1,,11.78749,,,,,,,,,,,,,,,
2025-12-08T16:22:13.233986+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:13.234050+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.57498,,,,,,,,
2025-12-08T16:22:13.235927+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:13.236012+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:13.236077+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:13.236226+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:13.236295+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:13.236354+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17025.956877,,,119,0,0,400
2025-12-08T16:22:13.443339+00:00,gnb:131-133-31000000,unknown,2,F1,,11.795519,,,,,,,,,,,,,,,
2025-12-08T16:22:13.443437+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:13.443498+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.591039,,,,,,,,
2025-12-08T16:22:13.443653+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:13.443709+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:13.443763+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:13.443907+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:13.443979+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:13.444035+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,16988.507754,,,119,0,0,400
2025-12-08T16:22:13.650065+00:00,gnb:131-133-31000000,unknown,2,F1,,11.784082,,,,,,,,,,,,,,,
2025-12-08T16:22:13.650213+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.568163,,,,,,,,
2025-12-08T16:22:13.650281+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:13.858008+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:13.858109+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:13.858176+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
